x, mm	y, mm	z, mm	Pressure, MPa
-1.75	0.45	5	27.176218870451738
-1.75	0.5	5	25.410168935796708
-1.75	0.55	5	23.591433913199367
-1.75	0.6	5	21.74850406617814
-1.75	0.65	5	19.908232634960317
-1.75	0.7	5	18.095237567671553
-1.75	0.75	5	16.331427106083037
-1.75	0.8	5	14.635657906067369
-1.75	0.85	5	13.02352739804609
-1.75	0.9	5	11.507295659047339
-1.75	0.95	5	10.095926510456767
-1.7	-1.05	5	9.710724656351129
-1.7	-1.0	5	11.225926653881109
-1.7	-0.95	5	12.886086017680611
-1.7	-0.9	5	14.687508030073612
-1.7	-0.85	5	16.622772969971773
-1.7	-0.8	5	18.68043973057793
-1.7	-0.75	5	20.844859980161015
-1.7	-0.7	5	23.09612570633024
-1.7	-0.65	5	25.410168935796708
-1.7	-0.6	5	27.759026758205753
-1.7	-0.55	5	30.11127768917971
-1.7	-0.5	5	32.43264719600836
-1.7	-0.45	5	34.68677130694691
-1.7	-0.4	5	36.83609815250874
-1.7	-0.35	5	38.842898625404516
-1.7	-0.3	5	40.670349694844205
-1.7	-0.25	5	42.28364784343629
-1.7	-0.2	5	43.65110610868491
-1.7	-0.15	5	44.74518668473789
-1.7	-0.1	5	45.54342219623653
-1.7	-0.05	5	46.029182636189404
-1.7	0.0	5	46.19225141266048
-1.7	0.05	5	46.029182636189404
-1.7	0.1	5	45.54342219623653
-1.7	0.15	5	44.74518668473789
-1.7	0.2	5	43.65110610868491
-1.7	0.25	5	42.28364784343629
-1.7	0.3	5	40.670349694844205
-1.7	0.35	5	38.842898625404516
-1.7	0.4	5	36.83609815250874
-1.7	0.45	5	34.68677130694691
-1.7	0.5	5	32.43264719600836
-1.7	0.55	5	30.11127768917971
-1.7	0.6	5	27.759026758205753
-1.7	0.65	5	25.410168935796708
-1.7	0.7	5	23.09612570633024
-1.7	0.75	5	20.844859980161015
-1.7	0.8	5	18.68043973057793
-1.7	0.85	5	16.622772969971773
-1.7	0.9	5	14.687508030073612
-1.7	0.95	5	12.886086017680611
-1.7	1.0	5	11.225926653881109
-1.7	1.05	5	9.710724656351129
-1.65	-1.1	5	10.570911960859062
-1.65	-1.05	5	12.307072268091742
-1.65	-1.0	5	14.227392444419905
-1.65	-0.95	5	16.331427106083055
-1.65	-0.9	5	18.61449368210338
-1.65	-0.85	5	21.06718864731936
-1.65	-0.8	5	23.675011896624166
-1.65	-0.75	5	26.418131218076514
-1.65	-0.7	5	29.27131581213477
-1.65	-0.65	5	32.20406267340077
-1.65	-0.6	5	35.18093247363286
